Name,State,Latitude,Longitude,Type
"Biloxi Small Craft Harbor Boat Ramp, MS",MS,30.3932,-88.8892,Public Boat Ramp
"Ocean Springs Small Craft Harbor Boat Ramp, MS",MS,30.4072,-88.8318,Public Boat Ramp
"Pascagoula River Park Boat Launch, MS",MS,30.3845,-88.5612,Public Boat Ramp
"Pass Christian Small Craft Harbor Boat Ramp, MS",MS,30.3152,-89.2485,Public Boat Ramp
"Beaufort Town Docks Boat Ramp, NC",NC,34.7152,-76.6642,Public Boat Ramp
"Carolina Beach State Park Boat Ramp, NC",NC,34.0452,-77.9115,Public Boat Ramp
"Hammocks Beach State Park Boat Launch, Swansboro, NC",NC,34.6712,-77.1415,Public Boat Ramp
"Hatteras Village Public Boat Ramp, NC",NC,35.2192,-75.6915,Public Boat Ramp
"Morehead City City Docks Boat Ramp, NC",NC,34.7212,-76.7292,Public Boat Ramp
"Oregon Inlet Fishing Center Boat Ramp, NC",NC,35.7958,-75.5482,Public Boat Ramp
"River Road Park Boat Ramp, Wilmington, NC",NC,34.1118,-77.9352,Public Boat Ramp
"Southport Marina Public Boat Ramp, NC",NC,33.9152,-78.0195,Public Boat Ramp
"Swansboro Public Boat Ramp, NC",NC,34.6885,-77.1215,Public Boat Ramp
"Trails End Boat Ramp, Wilmington, NC",NC,34.1512,-77.8598,Public Boat Ramp
"Wrightsville Beach Boat Ramp, NC",NC,34.2205,-77.8035,Public Boat Ramp
"Hampton Beach State Park Boat Launch, NH",NH,42.8985,-70.8142,Public Boat Ramp
"Hampton Harbor State Marina Boat Ramp, NH",NH,42.9015,-70.8172,Public Boat Ramp
"Pierce Island Boat Launch, Portsmouth, NH",NH,43.0734,-70.7461,Public Boat Ramp
"Rye Harbor State Marine Launch, NH",NH,42.9934,-70.7662,Public Boat Ramp
"Atlantic City Marina Boat Ramp, NJ",NJ,39.3789,-74.4312,Public Boat Ramp
"Barnegat Light Boat Ramp, NJ",NJ,39.7584,-74.1135,Public Boat Ramp
"Cape May Public Boat Ramp, NJ",NJ,38.9482,-74.9015,Public Boat Ramp
"Chestnut Neck Boat Yard Public Ramp, Port Republic, NJ",NJ,39.5312,-74.4485,Public Boat Ramp
"Island Beach State Park Boat Launch, Seaside Park, NJ",NJ,39.8892,-74.0845,Public Boat Ramp
"Liberty State Park Boat Ramp, Jersey City, NJ",NJ,40.6989,-74.0514,Public Boat Ramp
"Manasquan Inlet Express Boat Ramp, Point Pleasant, NJ",NJ,40.1012,-74.0452,Public Boat Ramp
"Shark River Municipal Boat Launch, Belmar, NJ",NJ,40.1795,-74.0322,Public Boat Ramp
"Captree State Park Boat Ramp, NY",NY,40.6415,-73.2556,Public Boat Ramp
"Freeport Town Marina Boat Launch, NY",NY,40.6312,-73.5785,Public Boat Ramp
"Heckscher State Park Boat Ramp, East Islip, NY",NY,40.6912,-73.1485,Public Boat Ramp
"Hither Hills State Park Launch, Montauk, NY",NY,41.0315,-71.9942,Public Boat Ramp
"Johnstons Marina Public Ramp, Brooklyn, NY",NY,40.5962,-73.9115,Public Boat Ramp
"Jones Beach State Park Boat Ramp, NY",NY,40.6022,-73.5135,Public Boat Ramp
"Lemon Creek Watercraft Launch, Staten Island, NY",NY,40.5098,-74.2024,Public Boat Ramp
"Mattituck Inlet Boat Ramp, NY",NY,41.0118,-72.5358,Public Boat Ramp
"Moriches Inlet Town Boat Ramp, Center Moriches, NY",NY,40.7925,-72.7485,Public Boat Ramp
"Shinnecock Canal County Park Boat Ramp, NY",NY,40.8845,-72.5022,Public Boat Ramp
"Colt State Park Boat Ramp, Bristol, RI",RI,41.6841,-71.2985,Public Boat Ramp
"Fort Adams State Park Boat Ramp, Newport, RI",RI,41.4782,-71.3368,Public Boat Ramp
"Galilee Boat Ramp, Narragansett, RI",RI,41.3822,-71.5095,Public Boat Ramp
"Gano Street Boat Launch, Providence, RI",RI,41.8214,-71.3892,Public Boat Ramp
"Sakonnet River Public Boat Ramp, Tiverton, RI",RI,41.6322,-71.2095,Public Boat Ramp
"Broad Creek Boat Landing, Hilton Head Island, SC",SC,32.1845,-80.7485,Public Boat Ramp
"Edisto Beach State Park Boat Ramp, SC",SC,32.5015,-80.2985,Public Boat Ramp
"Georgetown Harbor East Bay Park Boat Ramp, SC",SC,33.3645,-79.2742,Public Boat Ramp
"Hunting Island State Park Boat Landing, SC",SC,32.3742,-80.4515,Public Boat Ramp
"Little River Waterfront Boat Landing, SC",SC,33.8785,-78.6115,Public Boat Ramp
"Murrells Inlet Public Boat Ramp, SC",SC,33.5489,-79.0344,Public Boat Ramp
"Port Royal Landing Boat Ramp, Beaufort, SC",SC,32.4042,-80.6892,Public Boat Ramp
"Remley's Point Boat Landing, Mount Pleasant, SC",SC,32.8102,-79.9014,Public Boat Ramp
"Wachesaw Landing, Murrells Inlet / Waccamaw River, SC",SC,33.5532,-79.0824,Public Boat Ramp
"Wappoo Cut Boat Landing, Charleston, SC",SC,32.7615,-79.9675,Public Boat Ramp
"Cole Park Boat Ramp, Corpus Christi, TX",TX,27.7785,-97.3822,Public Boat Ramp
"Conn Brown Harbor Boat Ramp, Aransas Pass, TX",TX,27.9042,-97.1395,Public Boat Ramp
"Freeport Municipal Park Boat Launch, TX",TX,28.9542,-95.3485,Public Boat Ramp
"Galveston Yacht Basin Public Boat Ramp, TX",TX,29.3145,-94.7745,Public Boat Ramp
"Goose Island State Park Boat Ramp, Rockport, TX",TX,28.1315,-96.9845,Public Boat Ramp
"Matagorda Harbor Boat Ramp, TX",TX,28.6945,-95.9685,Public Boat Ramp
"Pine Gully Park Boat Ramp, Seabrook, TX",TX,29.5912,-95.0045,Public Boat Ramp
"Port Aransas Dennis Dreyer Municipal Marina Ramp, TX",TX,27.8415,-97.0612,Public Boat Ramp
"Sabine Pass Battleground State Historic Site Boat Ramp, TX",TX,29.7312,-93.8645,Public Boat Ramp
"Sea Rim State Park Boat Launch, Sabine Pass, TX",TX,29.6785,-94.0415,Public Boat Ramp
"South Padre Island Boat Ramp, TX",TX,26.1115,-97.1695,Public Boat Ramp
"Sylvan Beach Park Boat Ramp, La Porte, TX",TX,29.6522,-95.0084,Public Boat Ramp
"Chincoteague Town Dock Boat Ramp, VA",VA,37.9324,-75.3788,Public Boat Ramp
"Huntington Park Boat Ramp, Newport News, VA",VA,37.0092,-76.4515,Public Boat Ramp
"Kiptopeke State Park Boat Ramp, Cape Charles, VA",VA,37.1685,-75.9812,Public Boat Ramp
"Lynnhaven Boat Ramp & Beach Facility, Virginia Beach, VA",VA,36.9085,-76.0912,Public Boat Ramp
"Owls Creek Boat Ramp, Virginia Beach, VA",VA,36.8322,-75.9815,Public Boat Ramp
"Rudee Inlet Boat Ramp, Virginia Beach, VA",VA,36.8315,-75.9738,Public Boat Ramp
"Wachapreague Town Boat Ramp, VA",VA,37.6084,-75.6845,Public Boat Ramp
"Willoughby Boat Ramp, Norfolk, VA",VA,36.9554,-76.2922,Public Boat Ramp
